Uuid,Attribute|54686249-2c26-4dd9-be90-fc7868dedd8f,Name,Attribute|d4e54a2f-39bf-4b0a-8000-f2048eddbe12,Description,Attribute|f369dbaa-3a0a-416e-97d1-cac1a230824f,County/District,State/Province,Address 4,Void/Retire,_order:1000,Unnamed: 11
fdb463ba-cdc7-4258-b129-55971ffcad34,1082998,Ana Dental Medium Clinic ,Operational,Dental Medium Clinic,Specialty Clinic,Oromia Region,Adama Town,Abba Gada Sub City,,,
3edd862b-dae4-4e42-964f-49be82e46144,1075968,Anadualem Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Awi Zone,Ayehu Guagusa,,,
d636c9b0-d663-44a3-9696-7272d8b2eec1,1084577,Anaf Medim Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Bishoftu Town,Chelelka Woreda,,,
a92867a9-f441-4ebd-b84a-a8d6f46c89ca,1038410,Ana Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Adama Town,Dambela Sub City,,,
0c769b01-81b3-400e-8782-1a2f67725cf8,1072137,Anamel Medium clinic,Operational,Medium Clinic,Clinic,Amhara Region,Bahirdar Town Administration,Bahir Dar Town,,,
d679806a-2812-4f06-a45d-0729a0dfd388,1032497,Anania Primary Hospital,Operational,Primary Hospital,Hospital,South Ethiopia Region,Wolaita zone,Areka Town,,,
dd0dbd39-81c8-4ee1-a42b-5bc107c30a79,1033015,Ananiya Medium Clinic,Operational,Medium Clinic,Clinic,South West Ethiopia Region,Kaffa Zone,Bita Woreda,,,
a6550130-c1af-46dc-af13-0526a0641a18,1047862,Anan Medium clinic,Operational,Medium Clinic,Clinic,Oromia Region,Nekemte Town,Nekemte Town,,,
9b270ae1-c032-49d9-8c85-3160ce381fc2,1055479,Anan Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,West Wollega Zone,Qondala,,,
f73898ce-aa97-48d6-b5d0-e7265c52c2cf,1084194,Anan Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,West Wollega Zone,Yubdo,,,
99d6dd35-6fd6-4d07-926d-e569512e05ec,1033729,Ananya Primary clinic,Operational,Primary Clinic,Clinic,Central Ethiopia Region,East Gurage Zone,Meskan Woreda,,,
1c96bde7-8690-415f-9796-127c69a5ff63,1097117,Anas Medium Clinic,Operational,Medium Clinic,Clinic,Sidama Region,Hawassa City Administration,Tula Woreda,,,
c2b23e8e-7139-4a95-8f51-df2c2ef83755,1084122,Anbel Primary Clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,South Bench Woreda,,,
913906a2-d88e-40a0-9e76-04542b7e7c0b,1057791,Anbesa Bus Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Bole Sub City,Woreda 14,,,
772cc009-b193-4fe7-9d85-1d006d0fdd22,1089067,Anbesa Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Ale zone,Kolango Zuria Woreda,,,
4f7a3b40-956c-4630-bc61-2af33a56ac6a,1044500,Anbesa Shoe Factory Organization Primary Clinic ,Operational,Institution Based Primary Clinic,Clinic,Addis Ababa City Administration,Akaki Kality Sub City,Woreda 2,,,
9c2893f1-82ff-48ab-a863-d9a9575925fa,1004724,Anbessa Primary Clinic,Operational,Primary Clinic,Clinic,Gambella Region,Majang Zone,Godere,,,
3f506b91-4ad0-42fb-8795-8790924c4d4b,1035669,Anchucho 01 Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Wolaita zone,Damot sore woreda,,,
c1b9417e-a86c-40c8-9b59-d9a357d423a0,1075797,Andabit primery hospital,Operational,Primary Hospital,Hospital,Amhara Region,South Gondar Zone,Andabet,,,
2c291d83-91b1-48ac-b88a-2bf134055e36,1090540,Andante Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Ari zone,Waba ari woreda,,,
b3c05440-13bb-44ea-96f0-ab57ea6fd909,1033216,Andargachew  primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Lode Hetosa,,,
cb9f8fed-aa26-4ecf-b44f-197ed2bd2895,1096555,Andarg Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,West Gondar Zone,Metema,,,
e303f497-e0d5-4aee-8c07-eeb2a5c2ea03,1094418,Andebet Belay Primary ,Operational,Primary Clinic,Clinic,Amhara Region,North Wollo Zone,Raya Kobo,,,
5833ab09-e6b6-4f0d-ae19-de9889ff27d7,1101358,Andebete Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Awi Zone,Chagni Town,,,
8d66217b-3728-40d3-8774-72a42637cb72,1095648,Anderson Medium Clinic,Operational,Medium Clinic,Clinic,South Ethiopia Region,Wolaita zone,Kindo didaye woreda,,,
84bd6355-4919-400c-acc1-937b4db9e6be,1094578,Andinat Medium Clinic,Operational,Medium Clinic,Clinic,South West Ethiopia Region,Kaffa Zone,Deka Town,,,
6e7635f0-1d7a-4a76-b6f3-f69742dec7b8,1004741,Andinat Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Shewa Zone,Adami Tulu Jido Kombolcha,,,
526921fe-21b7-4753-97bb-e2e027cc4601,1095701,Andinet Medium clinic,Operational,Medium Clinic,Clinic,South West Ethiopia Region,Sheka Zone,Masha Town,,,
65ca6db9-f9e4-49d9-8d1c-bc82d141bd4d,1004740,Andinet Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,West Arsi Zone,Adaba,,,
d65d3643-b542-400d-9104-0a98c4026605,1030043,Andinet Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Akaki Kality Sub City,Woreda 7,,,
